Id,Predicted
0, 0.39
1, 0.36
2, 0.52
3, 0.39
4, 0.72
5, 0.34
6, 0.50
7, 0.41
8, 0.48
9, 0.51
10, 0.48
11, 0.50
12, 0.44
13, 0.50
14, 0.73
15, 0.74
16, 0.73
17, 0.52
18, 0.51
19, 0.38
20, 0.45
21, 0.72
22, 0.48
23, 0.48
24, 0.48
25, 0.49
26, 0.56
27, 0.43
28, 0.49
29, 0.52
30, 0.49
31, 0.46
32, 0.55
33, 0.39
34, 0.52
35, 0.45
36, 0.48
37, 0.52
38, 0.46
39, 0.70
40, 0.54
41, 0.42
42, 0.52
43, 0.40
44, 0.72
45, 0.45
46, 0.49
47, 0.34
48, 0.43
49, 0.55
50, 0.42
51, 0.33
52, 0.30
53, 0.40
54, 0.44
55, 0.47
56, 0.50
57, 0.40
58, 0.37
59, 0.53
60, 0.56
61, 0.40
62, 0.33
63, 0.72
64, 0.71
65, 0.44
66, 0.59
67, 0.52
68, 0.31
69, 0.49
70, 0.53
71, 0.74
72, 0.72
73, 0.46
74, 0.32
75, 0.67
76, 0.44
77, 0.53
78, 0.49
79, 0.37
80, 0.50
81, 0.39
82, 0.40
83, 0.73
84, 0.41
85, 0.68
86, 0.56
87, 0.50
88, 0.44
89, 0.74
90, 0.49
91, 0.72
92, 0.55
93, 0.39
94, 0.71
95, 0.47
96, 0.35
97, 0.49
98, 0.73
99, 0.44
100, 0.53
101, 0.50
102, 0.31
103, 0.56
104, 0.56
105, 0.48
106, 0.39
107, 0.46
108, 0.44
109, 0.59
110, 0.32
111, 0.53
112, 0.40
113, 0.51
114, 0.49
115, 0.42
116, 0.54
117, 0.50
118, 0.32
119, 0.40
120, 0.32
121, 0.69
122, 0.39
123, 0.42
124, 0.44
125, 0.31
126, 0.59
127, 0.56
128, 0.54
129, 0.63
130, 0.32
131, 0.71
132, 0.34
133, 0.54
134, 0.52
135, 0.52
136, 0.36
137, 0.36
138, 0.53
139, 0.57
140, 0.50
141, 0.49
142, 0.54
143, 0.72
144, 0.73
145, 0.52
146, 0.51
147, 0.48
148, 0.45
149, 0.38
150, 0.39
151, 0.73
152, 0.33
153, 0.42
154, 0.50
155, 0.56
156, 0.38
157, 0.52
158, 0.53
159, 0.38
160, 0.49
161, 0.50
162, 0.51
163, 0.35
164, 0.50
165, 0.59
166, 0.39
167, 0.42
168, 0.72
169, 0.43
170, 0.46
171, 0.46
172, 0.54
173, 0.57
174, 0.46
175, 0.55
176, 0.39
177, 0.32
178, 0.55
179, 0.44
180, 0.50
181, 0.49
182, 0.69
183, 0.47
184, 0.37
185, 0.50
186, 0.50
187, 0.47
188, 0.56
189, 0.51
190, 0.56
191, 0.48
192, 0.46
193, 0.43
194, 0.37
195, 0.33
196, 0.49
197, 0.47
198, 0.34
199, 0.31
200, 0.48
201, 0.40
202, 0.47
203, 0.48
204, 0.60
205, 0.45
206, 0.32
207, 0.46
208, 0.72
209, 0.52
210, 0.42
211, 0.55
212, 0.49
213, 0.49
214, 0.45
215, 0.49
216, 0.50
217, 0.51
218, 0.48
219, 0.33
220, 0.33
221, 0.48
222, 0.35
223, 0.36
224, 0.48
225, 0.45
226, 0.45
227, 0.69
228, 0.55
229, 0.41
230, 0.36
231, 0.32
232, 0.49
233, 0.48
234, 0.35
235, 0.42
236, 0.51
237, 0.32
238, 0.49
239, 0.43
240, 0.44
241, 0.44
242, 0.31
243, 0.34
244, 0.43
245, 0.46
246, 0.55
247, 0.57
248, 0.50
249, 0.38
250, 0.72
251, 0.45
252, 0.52
253, 0.36
254, 0.45
255, 0.55
256, 0.51
257, 0.50
258, 0.52
259, 0.50
260, 0.31
261, 0.36
262, 0.37
263, 0.74
264, 0.53
265, 0.53
266, 0.46
267, 0.58
268, 0.45
269, 0.50
270, 0.55
271, 0.67
272, 0.37
273, 0.47
274, 0.59
275, 0.54
276, 0.38
277, 0.37
278, 0.64
279, 0.45
280, 0.74
281, 0.59
282, 0.74
283, 0.49
284, 0.55
285, 0.57
286, 0.52
287, 0.49
288, 0.74
289, 0.43
290, 0.50
291, 0.39
292, 0.72
293, 0.44
294, 0.35
295, 0.54
296, 0.32
297, 0.42
298, 0.40
299, 0.48
300, 0.44
301, 0.57
302, 0.40
303, 0.47
304, 0.47
305, 0.48
306, 0.54
307, 0.44
308, 0.53
309, 0.52
310, 0.52
311, 0.35
312, 0.74
313, 0.40
314, 0.54
315, 0.48
316, 0.51
317, 0.58
318, 0.42
319, 0.38
320, 0.36
321, 0.75
322, 0.38
323, 0.32
324, 0.58
325, 0.65
326, 0.47
327, 0.45
328, 0.49
329, 0.53
330, 0.39
331, 0.53
332, 0.32
333, 0.31
334, 0.74
335, 0.52
336, 0.40
337, 0.49
338, 0.50
339, 0.56
340, 0.55
341, 0.53
342, 0.43
343, 0.32
344, 0.73
345, 0.56
346, 0.36
347, 0.39
348, 0.40
349, 0.52
350, 0.72
351, 0.44
352, 0.57
353, 0.56
354, 0.53
355, 0.47
356, 0.45
357, 0.35
358, 0.50
359, 0.42
360, 0.39
361, 0.55
362, 0.47
363, 0.56
364, 0.44
365, 0.51
366, 0.55
367, 0.71
368, 0.39
369, 0.38
370, 0.41
371, 0.69
372, 0.41
373, 0.59
374, 0.73
375, 0.56
376, 0.52
377, 0.47
378, 0.51
379, 0.47
380, 0.51
381, 0.36
382, 0.33
383, 0.51
384, 0.48
385, 0.41
386, 0.33
387, 0.48
388, 0.68
389, 0.36
390, 0.73
391, 0.49
392, 0.55
393, 0.46
394, 0.48
395, 0.54
396, 0.55
397, 0.37
398, 0.53
399, 0.70
400, 0.51
401, 0.55
402, 0.52
403, 0.54
404, 0.37
405, 0.45
406, 0.39
407, 0.41
408, 0.44
409, 0.40
410, 0.32
411, 0.64
412, 0.49
413, 0.56
414, 0.32
415, 0.47
416, 0.51
417, 0.71
418, 0.48
419, 0.50
420, 0.52
421, 0.54
422, 0.48
423, 0.65
424, 0.74
425, 0.56
426, 0.49
427, 0.59
428, 0.74
429, 0.33
430, 0.47
431, 0.65
432, 0.54
433, 0.37
434, 0.75
435, 0.55
436, 0.53
437, 0.49
438, 0.46
439, 0.32
440, 0.71
441, 0.48
442, 0.39
443, 0.39
444, 0.52
445, 0.50
446, 0.47
447, 0.32
448, 0.46
449, 0.69
450, 0.40
451, 0.33
452, 0.57
453, 0.41
454, 0.40
455, 0.45
456, 0.45
457, 0.47
458, 0.52
459, 0.48
460, 0.58
461, 0.50
462, 0.51
463, 0.74
464, 0.74
465, 0.55
466, 0.51
467, 0.51
468, 0.71
469, 0.47
470, 0.47
471, 0.50
472, 0.38
473, 0.54
474, 0.72
475, 0.69
476, 0.74
477, 0.50
478, 0.32
479, 0.39
480, 0.48
481, 0.73
482, 0.74
483, 0.50
484, 0.37
485, 0.57
486, 0.37
487, 0.74
488, 0.50
489, 0.49
490, 0.36
491, 0.34
492, 0.48
493, 0.51
494, 0.46
495, 0.39
496, 0.37
497, 0.49
498, 0.71
499, 0.59
500, 0.69
501, 0.39
502, 0.32
503, 0.51
504, 0.41
505, 0.74
506, 0.51
507, 0.73
508, 0.54
509, 0.45
510, 0.56
511, 0.50
512, 0.43
513, 0.42
514, 0.44
515, 0.56
516, 0.41
517, 0.68
518, 0.43
519, 0.42
520, 0.34
521, 0.50
522, 0.34
523, 0.46
524, 0.41
525, 0.45
526, 0.41
527, 0.56
528, 0.53
529, 0.44
530, 0.52
531, 0.46
532, 0.46
533, 0.51
534, 0.40
535, 0.54
536, 0.47
537, 0.45
538, 0.38
539, 0.36
540, 0.73
541, 0.44
542, 0.51
543, 0.74
544, 0.48
545, 0.45
546, 0.71
547, 0.44
548, 0.44
549, 0.43
550, 0.41
551, 0.40
552, 0.73
553, 0.36
554, 0.52
555, 0.52
556, 0.32
557, 0.74
558, 0.56
559, 0.49
560, 0.49
561, 0.40
562, 0.52
563, 0.75
564, 0.46
565, 0.73
566, 0.38
567, 0.73
568, 0.38
569, 0.72
570, 0.52
571, 0.55
572, 0.54
573, 0.30
574, 0.48
575, 0.56
576, 0.46
577, 0.60
578, 0.49
579, 0.43
580, 0.49
581, 0.54
582, 0.42
583, 0.48
584, 0.39
585, 0.47
586, 0.40
587, 0.48
588, 0.38
589, 0.37
590, 0.53
591, 0.56
592, 0.52
593, 0.74
594, 0.45
595, 0.66
596, 0.47
597, 0.52
598, 0.47
599, 0.52
600, 0.56
601, 0.75
602, 0.53
603, 0.41
604, 0.56
605, 0.38
606, 0.42
607, 0.31
608, 0.73
609, 0.41
610, 0.44
611, 0.50
612, 0.45
613, 0.39
614, 0.55
615, 0.46
616, 0.47
617, 0.53
618, 0.40
619, 0.33
620, 0.54
621, 0.53
622, 0.48
