Id,Predicted
0, 0.44
1, 0.19
2, 0.44
3, 0.56
4, 0.94
5, 0.31
6, 0.62
7, 0.44
8, 0.38
9, 0.62
10, 0.56
11, 0.50
12, 0.62
13, 0.56
14, 0.81
15, 0.69
16, 1.00
17, 0.44
18, 0.38
19, 0.12
20, 0.62
21, 0.88
22, 0.31
23, 0.50
24, 0.50
25, 0.44
26, 0.62
27, 0.62
28, 0.31
29, 0.38
30, 0.44
31, 0.50
32, 0.44
33, 0.56
34, 0.44
35, 0.62
36, 0.38
37, 0.44
38, 0.38
39, 0.75
40, 0.44
41, 0.44
42, 0.56
43, 0.31
44, 0.88
45, 0.44
46, 0.44
47, 0.56
48, 0.50
49, 0.56
50, 0.38
51, 0.44
52, 0.12
53, 0.56
54, 0.31
55, 0.44
56, 0.50
57, 0.50
58, 0.44
59, 0.56
60, 0.56
61, 0.38
62, 0.25
63, 0.75
64, 0.69
65, 0.50
66, 0.19
67, 0.56
68, 0.19
69, 0.75
70, 0.62
71, 0.69
72, 0.62
73, 0.50
74, 0.56
75, 0.75
76, 0.62
77, 0.56
78, 0.62
79, 0.12
80, 0.69
81, 0.31
82, 0.19
83, 0.62
84, 0.31
85, 0.81
86, 0.62
87, 0.50
88, 0.75
89, 0.75
90, 0.62
91, 0.81
92, 0.44
93, 0.19
94, 0.69
95, 0.62
96, 0.44
97, 0.44
98, 0.56
99, 0.56
100, 0.62
101, 0.50
102, 0.19
103, 0.88
104, 0.56
105, 0.62
106, 0.38
107, 0.25
108, 0.44
109, 0.75
110, 0.19
111, 0.38
112, 0.44
113, 0.50
114, 0.56
115, 0.69
116, 0.62
117, 0.31
118, 0.50
119, 0.50
120, 0.19
121, 0.62
122, 0.25
123, 0.25
124, 0.81
125, 0.12
126, 0.50
127, 0.50
128, 0.56
129, 0.62
130, 0.06
131, 1.00
132, 0.00
133, 0.31
134, 0.44
135, 0.44
136, 0.12
137, 0.50
138, 0.44
139, 0.25
140, 0.50
141, 0.44
142, 0.44
143, 0.69
144, 0.81
145, 0.50
146, 0.31
147, 0.25
148, 0.56
149, 0.31
150, 0.38
151, 1.00
152, 0.12
153, 0.44
154, 0.38
155, 0.44
156, 0.38
157, 0.31
158, 0.69
159, 0.44
160, 0.19
161, 0.44
162, 0.56
163, 0.44
164, 0.25
165, 0.50
166, 0.12
167, 0.31
168, 0.94
169, 0.38
170, 0.50
171, 0.50
172, 0.56
173, 0.38
174, 0.19
175, 0.75
176, 0.31
177, 0.38
178, 0.62
179, 0.56
180, 0.69
181, 0.50
182, 0.62
183, 0.56
184, 0.31
185, 0.50
186, 0.31
187, 0.44
188, 0.38
189, 0.44
190, 0.56
191, 0.62
192, 0.69
193, 0.75
194, 0.38
195, 0.25
196, 0.38
197, 0.75
198, 0.62
199, 0.19
200, 0.44
201, 0.44
202, 0.69
203, 0.31
204, 0.88
205, 0.31
206, 0.56
207, 0.62
208, 1.00
209, 0.56
210, 0.50
211, 0.69
212, 0.25
213, 0.62
214, 0.38
215, 0.56
216, 0.69
217, 0.25
218, 0.25
219, 0.38
220, 0.81
221, 0.44
222, 0.81
223, 0.44
224, 0.31
225, 0.50
226, 0.38
227, 0.88
228, 0.50
229, 0.44
230, 0.19
231, 0.44
232, 0.50
233, 0.25
234, 0.25
235, 0.25
236, 0.44
237, 0.19
238, 0.44
239, 0.31
240, 0.38
241, 0.62
242, 0.31
243, 0.75
244, 0.56
245, 0.38
246, 0.50
247, 0.25
248, 0.38
249, 0.12
250, 0.69
251, 0.81
252, 0.62
253, 0.25
254, 0.62
255, 0.56
256, 0.50
257, 0.44
258, 0.38
259, 0.31
260, 0.25
261, 0.25
262, 0.50
263, 0.62
264, 0.31
265, 0.44
266, 0.31
267, 0.75
268, 0.62
269, 0.50
270, 0.25
271, 0.81
272, 0.44
273, 0.38
274, 0.62
275, 0.38
276, 0.56
277, 0.44
278, 0.75
279, 0.44
280, 0.75
281, 0.50
282, 1.00
283, 0.38
284, 0.50
285, 0.50
286, 0.44
287, 0.62
288, 0.56
289, 0.31
290, 0.56
291, 0.25
292, 0.94
293, 0.44
294, 0.00
295, 0.38
296, 0.25
297, 0.50
298, 0.31
299, 0.44
300, 0.62
301, 0.38
302, 0.56
303, 0.12
304, 0.38
305, 0.44
306, 0.50
307, 0.50
308, 0.50
309, 0.44
310, 0.31
311, 0.19
312, 0.88
313, 0.56
314, 0.50
315, 0.31
316, 0.25
317, 0.50
318, 0.50
319, 0.44
320, 0.56
321, 0.88
322, 0.12
323, 0.31
324, 0.44
325, 0.81
326, 0.75
327, 0.44
328, 0.31
329, 0.31
330, 0.75
331, 0.31
332, 0.19
333, 0.12
334, 0.69
335, 0.56
336, 0.62
337, 0.44
338, 0.62
339, 0.44
340, 0.50
341, 0.75
342, 0.25
343, 0.19
344, 0.62
345, 0.69
346, 0.31
347, 0.38
