Id,Predicted
0, 0.31
1, 0.19
2, 0.56
3, 0.38
4, 0.31
5, 0.12
6, 0.44
7, 0.38
8, 0.62
9, 0.69
10, 0.44
11, 0.44
12, 0.25
13, 0.31
14, 0.50
15, 0.75
16, 0.44
17, 0.56
18, 0.25
19, 0.31
20, 0.25
21, 0.69
22, 0.56
23, 0.44
24, 0.62
25, 0.56
26, 0.44
27, 0.69
28, 0.38
29, 0.38
30, 0.56
31, 0.31
32, 0.62
33, 0.38
34, 0.50
35, 0.44
36, 0.62
37, 0.31
38, 0.44
39, 0.50
40, 0.62
41, 0.12
42, 0.31
43, 0.56
44, 0.69
45, 0.38
46, 0.25
47, 0.31
48, 0.50
49, 0.50
50, 0.25
51, 0.25
52, 0.44
53, 0.56
54, 0.44
55, 0.56
56, 0.56
57, 0.25
58, 0.31
59, 0.38
60, 0.62
61, 0.44
62, 0.31
63, 0.69
64, 0.38
65, 0.44
66, 0.25
67, 0.38
68, 0.06
69, 0.38
70, 0.44
71, 0.62
72, 0.75
73, 0.25
74, 0.56
75, 0.50
76, 0.50
77, 0.50
78, 0.25
79, 0.38
80, 0.62
81, 0.44
82, 0.56
83, 0.62
84, 0.56
85, 0.50
86, 0.56
87, 0.50
88, 0.38
89, 0.69
90, 0.25
91, 0.44
92, 0.31
93, 0.50
94, 0.69
95, 0.44
96, 0.25
97, 0.31
98, 0.62
99, 0.50
100, 0.62
101, 0.62
102, 0.12
103, 0.44
104, 0.56
105, 0.50
106, 0.44
107, 0.50
108, 0.38
109, 0.31
110, 0.25
111, 0.38
112, 0.44
113, 0.25
114, 0.50
115, 0.44
116, 0.50
117, 0.31
118, 0.44
119, 0.31
120, 0.12
121, 0.62
122, 0.56
123, 0.38
124, 0.38
125, 0.06
126, 0.62
127, 0.44
128, 0.50
129, 0.50
130, 0.12
131, 0.62
132, 0.06
133, 0.50
134, 0.50
135, 0.56
136, 0.31
137, 0.31
138, 0.31
139, 0.50
140, 0.31
141, 0.31
142, 0.31
143, 0.81
144, 0.62
145, 0.50
146, 0.62
147, 0.19
148, 0.44
149, 0.38
150, 0.44
151, 0.62
152, 0.12
153, 0.19
154, 0.44
155, 0.38
156, 0.56
157, 0.50
158, 0.44
159, 0.56
160, 0.50
161, 0.56
162, 0.31
163, 0.44
164, 0.69
165, 0.56
166, 0.25
167, 0.56
168, 0.44
169, 0.12
170, 0.56
171, 0.38
172, 0.38
173, 0.62
174, 0.56
175, 0.25
176, 0.56
177, 0.31
178, 0.62
179, 0.56
180, 0.31
181, 0.50
182, 0.62
183, 0.38
184, 0.31
185, 0.56
186, 0.56
187, 0.19
188, 0.62
189, 0.38
190, 0.38
191, 0.31
192, 0.50
193, 0.38
194, 0.38
195, 0.12
196, 0.50
197, 0.44
198, 0.25
199, 0.38
200, 0.38
201, 0.56
202, 0.56
203, 0.38
204, 0.88
205, 0.50
206, 0.38
207, 0.25
208, 0.44
209, 0.38
210, 0.56
211, 0.50
212, 0.44
213, 0.38
214, 0.31
215, 0.62
216, 0.50
217, 0.44
218, 0.31
219, 0.12
220, 0.31
221, 0.31
222, 0.62
223, 0.06
224, 0.31
225, 0.44
226, 0.31
227, 0.31
228, 0.38
229, 0.25
230, 0.31
231, 0.25
232, 0.12
233, 0.25
234, 0.38
235, 0.31
236, 0.31
237, 0.31
238, 0.50
239, 0.38
240, 0.19
241, 0.44
242, 0.31
243, 0.31
244, 0.38
245, 0.38
246, 0.31
247, 0.38
248, 0.31
249, 0.12
250, 0.75
251, 0.44
252, 0.56
253, 0.38
254, 0.44
255, 0.25
256, 0.38
