Id,Predicted
0, 0.31
1, 0.25
2, 0.62
3, 0.56
4, 0.31
5, 0.19
6, 0.50
7, 0.19
8, 0.56
9, 0.75
10, 0.44
11, 0.56
12, 0.25
13, 0.31
14, 0.31
15, 0.81
16, 0.44
17, 0.62
18, 0.25
19, 0.19
20, 0.31
21, 0.69
22, 0.62
23, 0.56
24, 0.56
25, 0.50
26, 0.50
27, 0.44
28, 0.31
29, 0.38
30, 0.62
31, 0.19
32, 0.62
33, 0.25
34, 0.56
35, 0.31
36, 0.50
37, 0.31
38, 0.56
39, 0.44
40, 0.44
41, 0.19
42, 0.25
43, 0.50
44, 0.81
45, 0.50
46, 0.25
47, 0.31
48, 0.56
49, 0.56
50, 0.31
51, 0.19
52, 0.38
53, 0.56
54, 0.44
55, 0.50
56, 0.50
57, 0.38
58, 0.31
59, 0.38
60, 0.69
61, 0.50
62, 0.25
63, 0.75
64, 0.31
65, 0.38
66, 0.31
67, 0.50
68, 0.06
69, 0.25
70, 0.50
71, 0.50
72, 0.69
73, 0.38
74, 0.69
75, 0.44
76, 0.56
77, 0.56
78, 0.25
79, 0.25
80, 0.81
81, 0.44
82, 0.62
83, 0.56
84, 0.44
85, 0.38
86, 0.62
87, 0.56
88, 0.38
89, 0.75
90, 0.25
91, 0.38
92, 0.25
93, 0.56
94, 0.69
95, 0.50
96, 0.25
97, 0.44
98, 0.62
99, 0.38
100, 0.69
101, 0.50
102, 0.12
103, 0.38
104, 0.62
105, 0.44
106, 0.56
107, 0.50
108, 0.38
109, 0.44
110, 0.19
111, 0.31
112, 0.44
113, 0.25
114, 0.62
115, 0.50
116, 0.69
117, 0.25
118, 0.25
119, 0.19
120, 0.12
121, 0.56
122, 0.44
123, 0.38
124, 0.31
125, 0.06
126, 0.44
127, 0.69
128, 0.56
129, 0.50
130, 0.06
131, 0.50
132, 0.00
133, 0.56
134, 0.44
135, 0.62
136, 0.25
137, 0.19
138, 0.25
139, 0.62
140, 0.25
141, 0.44
142, 0.25
143, 0.62
144, 0.50
145, 0.50
146, 0.56
147, 0.38
148, 0.38
149, 0.38
150, 0.44
151, 0.62
152, 0.12
153, 0.19
154, 0.44
155, 0.44
156, 0.25
157, 0.38
158, 0.56
159, 0.38
160, 0.50
161, 0.44
162, 0.31
163, 0.19
164, 0.50
165, 0.44
166, 0.19
167, 0.62
168, 0.44
169, 0.38
170, 0.56
171, 0.44
172, 0.50
173, 0.69
174, 0.56
175, 0.19
176, 0.56
177, 0.31
178, 0.69
179, 0.62
180, 0.31
181, 0.44
182, 0.62
183, 0.31
184, 0.44
185, 0.62
186, 0.44
187, 0.25
188, 0.69
189, 0.25
190, 0.31
191, 0.56
192, 0.50
193, 0.44
194, 0.38
195, 0.19
196, 0.56
197, 0.50
198, 0.19
199, 0.44
200, 0.38
201, 0.50
202, 0.56
203, 0.62
204, 0.81
205, 0.56
206, 0.25
207, 0.31
208, 0.38
209, 0.38
210, 0.62
211, 0.31
212, 0.38
213, 0.31
214, 0.25
215, 0.81
216, 0.62
217, 0.44
218, 0.44
219, 0.19
220, 0.50
221, 0.44
222, 0.62
223, 0.06
224, 0.31
225, 0.50
226, 0.31
227, 0.25
228, 0.50
229, 0.25
230, 0.12
231, 0.12
232, 0.31
233, 0.31
234, 0.31
235, 0.12
236, 0.31
237, 0.12
238, 0.44
239, 0.38
240, 0.31
241, 0.50
242, 0.19
243, 0.31
244, 0.50
245, 0.50
246, 0.31
247, 0.44
248, 0.25
249, 0.12
250, 0.81
251, 0.56
252, 0.50
253, 0.38
254, 0.38
255, 0.31
256, 0.31
257, 0.50
258, 0.50
259, 0.44
260, 0.19
261, 0.25
262, 0.19
263, 0.62
264, 0.44
265, 0.56
266, 0.50
267, 0.31
268, 0.31
269, 0.38
270, 0.62
271, 0.19
272, 0.62
273, 0.44
274, 0.25
275, 0.38
276, 0.31
277, 0.19
278, 0.88
279, 0.31
280, 0.50
281, 0.38
282, 0.62
283, 0.25
284, 0.69
285, 0.38
286, 0.50
287, 0.50
288, 0.56
289, 0.44
290, 0.38
291, 0.56
292, 0.56
293, 0.38
294, 0.38
295, 0.56
296, 0.12
297, 0.31
298, 0.19
299, 0.38
300, 0.19
301, 0.38
302, 0.56
303, 0.56
304, 0.38
305, 0.50
306, 0.56
307, 0.25
308, 0.69
309, 0.75
310, 0.38
311, 0.19
312, 0.88
313, 0.69
314, 0.31
315, 0.38
316, 0.44
317, 0.38
318, 0.44
319, 0.19
320, 0.69
321, 0.56
322, 0.19
323, 0.38
324, 0.50
325, 0.88
326, 0.50
327, 0.44
328, 0.38
329, 0.56
330, 0.62
331, 0.31
332, 0.12
333, 0.25
334, 0.56
335, 0.62
336, 0.31
337, 0.38
338, 0.75
339, 0.44
340, 0.44
341, 0.62
342, 0.38
343, 0.06
344, 0.25
345, 0.62
346, 0.25
347, 0.44
348, 0.12
349, 0.56
350, 0.75
351, 0.38
352, 0.50
353, 0.56
354, 0.31
355, 0.25
356, 0.38
357, 0.38
358, 0.50
359, 0.31
360, 0.44
361, 0.31
362, 0.62
363, 0.38
364, 0.56
365, 0.31
366, 0.50
367, 0.62
368, 0.56
369, 0.44
370, 0.44
371, 0.38
372, 0.38
373, 0.56
374, 0.38
375, 0.31
376, 0.50
377, 0.31
378, 0.38
379, 0.50
380, 0.25
381, 0.44
382, 0.31
383, 0.25
384, 0.44
385, 0.69
386, 0.19
387, 0.25
388, 0.38
389, 0.56
390, 0.81
391, 0.38
392, 0.62
393, 0.25
394, 0.44
395, 0.44
396, 0.38
397, 0.75
398, 0.50
399, 0.50
400, 0.44
401, 0.31
402, 0.38
403, 0.31
404, 0.19
405, 0.31
406, 0.12
407, 0.50
408, 0.25
409, 0.56
410, 0.56
411, 0.44
412, 0.31
413, 0.31
414, 0.12
415, 0.50
416, 0.31
417, 0.38
418, 0.50
419, 0.44
420, 0.31
421, 0.25
422, 0.31
423, 0.50
424, 0.56
425, 0.69
426, 0.31
427, 0.50
428, 0.56
429, 0.12
430, 0.50
431, 0.31
432, 0.50
433, 0.44
434, 0.62
435, 0.19
436, 0.56
437, 0.31
438, 0.56
439, 0.12
440, 0.44
441, 0.31
442, 0.31
443, 0.31
444, 0.25
445, 0.44
446, 0.25
447, 0.12
448, 0.31
449, 0.62
450, 0.56
451, 0.12
452, 0.38
453, 0.06
454, 0.44
455, 0.31
456, 0.31
457, 0.50
458, 0.44
459, 0.62
460, 0.31
461, 0.38
462, 0.44
463, 0.50
464, 0.44
465, 0.31
466, 0.56
467, 0.56
468, 0.56
469, 0.19
470, 0.31
471, 0.50
472, 0.31
473, 0.75
474, 0.56
475, 0.50
476, 0.62
477, 0.50
478, 0.19
479, 0.50
480, 0.69
481, 0.88
482, 0.69
483, 0.25
484, 0.19
485, 0.25
486, 0.31
487, 0.44
488, 0.44
489, 0.50
490, 0.50
491, 0.31
492, 0.56
493, 0.31
494, 0.38
495, 0.31
496, 0.12
497, 0.44
498, 0.38
499, 0.75
500, 0.50
501, 0.44
502, 0.19
503, 0.56
504, 0.56
505, 0.94
506, 0.44
507, 0.56
508, 0.69
509, 0.38
510, 0.62
511, 0.25
512, 0.31
513, 0.44
514, 0.50
515, 0.56
516, 0.19
517, 0.62
518, 0.38
519, 0.38
520, 0.19
521, 0.44
522, 0.12
523, 0.62
524, 0.62
525, 0.25
526, 0.31
527, 0.31
528, 0.38
529, 0.31
530, 0.31
531, 0.31
532, 0.31
533, 0.50
534, 0.19
535, 0.62
536, 0.44
537, 0.31
538, 0.50
539, 0.19
540, 0.81
541, 0.56
542, 0.44
543, 0.56
544, 0.38
545, 0.31
546, 0.75
547, 0.44
548, 0.38
549, 0.31
550, 0.31
551, 0.38
552, 0.69
553, 0.38
554, 0.56
555, 0.44
556, 0.12
557, 0.62
558, 0.50
559, 0.25
560, 0.44
561, 0.44
562, 0.12
563, 0.69
564, 0.69
565, 0.50
566, 0.56
567, 0.75
568, 0.38
569, 0.50
570, 0.44
571, 0.56
572, 0.25
573, 0.06
574, 0.69
575, 0.69
576, 0.31
577, 0.25
578, 0.31
579, 0.56
580, 0.62
581, 0.44
582, 0.62
583, 0.50
584, 0.31
585, 0.44
586, 0.19
587, 0.44
588, 0.31
589, 0.06
590, 0.56
591, 0.50
592, 0.44
593, 0.56
594, 0.50
595, 0.69
596, 0.44
597, 0.31
598, 0.38
599, 0.31
600, 0.56
601, 0.56
602, 0.38
603, 0.38
604, 0.38
605, 0.19
606, 0.25
607, 0.19
608, 0.50
609, 0.44
610, 0.19
611, 0.25
612, 0.25
613, 0.44
614, 0.31
615, 0.38
616, 0.50
617, 0.50
618, 0.50
619, 0.25
