Id,Predicted
0, 0.57
1, 0.33
2, 0.59
3, 0.59
4, 0.51
5, 0.60
6, 0.39
7, 0.46
8, 0.52
9, 0.45
10, 0.62
11, 0.36
12, 0.52
13, 0.63
14, 0.46
15, 0.56
16, 0.51
17, 0.51
18, 0.57
19, 0.29
20, 0.50
21, 0.41
22, 0.49
23, 0.40
24, 0.53
25, 0.46
26, 0.43
27, 0.41
28, 0.58
29, 0.43
30, 0.52
31, 0.57
32, 0.69
33, 0.49
34, 0.57
35, 0.54
36, 0.54
37, 0.53
38, 0.37
39, 0.60
40, 0.55
41, 0.39
42, 0.55
43, 0.50
44, 0.49
45, 0.58
46, 0.46
47, 0.32
48, 0.50
49, 0.48
50, 0.57
51, 0.47
52, 0.23
53, 0.34
54, 0.36
55, 0.45
56, 0.45
57, 0.46
58, 0.35
59, 0.45
60, 0.43
61, 0.45
62, 0.53
63, 0.41
64, 0.51
65, 0.46
66, 0.45
67, 0.58
68, 0.44
69, 0.55
70, 0.49
71, 0.59
72, 0.32
73, 0.34
74, 0.40
75, 0.43
76, 0.43
77, 0.64
78, 0.37
79, 0.34
80, 0.38
81, 0.47
82, 0.59
83, 0.63
84, 0.49
85, 0.59
86, 0.57
87, 0.41
88, 0.45
89, 0.62
90, 0.48
91, 0.46
92, 0.54
93, 0.54
94, 0.49
95, 0.56
96, 0.39
97, 0.57
98, 0.51
99, 0.42
100, 0.49
101, 0.43
102, 0.44
103, 0.39
104, 0.48
105, 0.60
106, 0.34
107, 0.44
108, 0.41
109, 0.57
110, 0.56
111, 0.49
112, 0.29
113, 0.54
114, 0.51
115, 0.54
116, 0.55
117, 0.43
118, 0.37
119, 0.42
120, 0.45
121, 0.52
122, 0.57
123, 0.31
124, 0.36
125, 0.52
126, 0.45
127, 0.59
128, 0.50
129, 0.46
130, 0.46
131, 0.64
132, 0.54
133, 0.63
134, 0.38
135, 0.48
136, 0.42
137, 0.27
138, 0.52
139, 0.55
140, 0.60
141, 0.50
142, 0.59
143, 0.56
144, 0.55
145, 0.49
146, 0.52
147, 0.35
148, 0.45
149, 0.29
150, 0.30
151, 0.53
152, 0.38
153, 0.37
154, 0.53
155, 0.59
156, 0.58
157, 0.62
158, 0.58
159, 0.39
160, 0.66
161, 0.54
162, 0.51
163, 0.57
164, 0.52
165, 0.50
166, 0.36
167, 0.38
168, 0.45
169, 0.51
170, 0.50
171, 0.68
172, 0.57
173, 0.49
174, 0.56
175, 0.52
176, 0.50
177, 0.43
178, 0.43
179, 0.49
180, 0.36
181, 0.42
182, 0.39
183, 0.44
184, 0.38
185, 0.52
186, 0.57
187, 0.51
188, 0.69
189, 0.48
190, 0.55
191, 0.52
192, 0.57
193, 0.60
194, 0.40
195, 0.23
196, 0.44
197, 0.46
198, 0.44
199, 0.34
200, 0.50
201, 0.36
202, 0.51
203, 0.46
204, 0.57
205, 0.55
206, 0.50
207, 0.41
208, 0.39
209, 0.58
210, 0.47
211, 0.51
212, 0.46
213, 0.37
214, 0.35
215, 0.45
216, 0.58
217, 0.41
218, 0.50
219, 0.60
220, 0.41
221, 0.48
222, 0.43
223, 0.50
224, 0.41
225, 0.53
226, 0.40
227, 0.39
228, 0.50
229, 0.52
230, 0.31
231, 0.46
232, 0.50
233, 0.41
234, 0.48
235, 0.57
236, 0.51
237, 0.51
238, 0.55
239, 0.49
240, 0.55
241, 0.47
242, 0.48
243, 0.50
244, 0.62
245, 0.45
246, 0.46
247, 0.46
248, 0.39
249, 0.25
250, 0.46
251, 0.41
252, 0.54
253, 0.43
254, 0.50
255, 0.46
256, 0.64
257, 0.53
258, 0.41
259, 0.55
260, 0.30
261, 0.33
262, 0.50
263, 0.56
264, 0.53
265, 0.49
266, 0.55
267, 0.51
268, 0.53
269, 0.52
270, 0.57
271, 0.50
272, 0.49
273, 0.49
274, 0.57
275, 0.34
276, 0.49
277, 0.31
278, 0.44
279, 0.50
280, 0.66
281, 0.62
282, 0.58
283, 0.40
284, 0.52
285, 0.58
286, 0.45
287, 0.39
288, 0.51
