ID,Predicted
0, 1
1, 0
2, 1
3, 1
4, 0
5, 1
6, 1
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 1
20, 1
21, 0
22, 0
23, 0
24, 1
25, 1
26, 0
27, 0
28, 1
29, 1
30, 1
31, 0
32, 0
33, 1
34, 1
35, 1
36, 0
37, 1
38, 0
39, 0
40, 0
41, 1
42, 1
43, 0
44, 0
45, 1
46, 1
47, 0
48, 0
49, 0
50, 0
51, 1
52, 0
53, 1
54, 0
55, 1
56, 0
57, 1
58, 1
59, 0
60, 1
61, 1
62, 0
63, 1
64, 0
65, 1
66, 1
67, 0
68, 1
69, 0
70, 1
71, 0
72, 1
73, 1
74, 0
75, 0
76, 1
77, 0
78, 0
79, 1
80, 1
81, 0
82, 1
83, 0
84, 1
85, 0
86, 1
87, 1
88, 1
89, 0
90, 1
91, 1
92, 0
93, 0
94, 1
95, 0
96, 0
97, 1
98, 1
99, 1
100, 0
101, 0
102, 1
103, 0
104, 1
105, 0
106, 0
107, 1
108, 0
109, 1
110, 1
111, 0
112, 1
113, 1
114, 1
115, 1
116, 0
117, 0
118, 1
119, 1
120, 1
121, 0
122, 0
123, 0
124, 1
125, 0
126, 1
127, 0
128, 1
129, 1
130, 1
131, 1
132, 0
133, 0
134, 1
135, 1
136, 0
137, 0
138, 0
139, 0
140, 1
141, 0
142, 1
143, 1
144, 0
145, 0
146, 0
147, 0
148, 1
149, 1
150, 0
151, 0
152, 0
153, 0
154, 0
155, 1
156, 1
157, 1
158, 0
159, 0
160, 0
161, 0
162, 1
163, 0
164, 0
165, 1
166, 1
167, 0
168, 0
169, 0
170, 0
171, 0
172, 1
173, 1
174, 0
175, 0
176, 0
177, 1
178, 0
179, 1
180, 1
181, 1
182, 1
183, 1
184, 1
185, 1
186, 1
187, 0
188, 0
189, 0
190, 1
191, 1
192, 0
193, 0
194, 1
195, 0
196, 1
197, 1
198, 1
199, 1
200, 1
201, 1
202, 0
203, 0
204, 1
205, 0
206, 1
207, 1
208, 1
209, 0
210, 1
211, 0
212, 0
213, 0
214, 1
215, 1
216, 0
217, 0
218, 0
219, 1
220, 1
221, 1
222, 1
223, 1
224, 1
225, 1
226, 0
227, 0
228, 0
229, 0
230, 0
231, 0
232, 0
233, 1
234, 1
235, 0
236, 0
237, 1
238, 0
239, 0
240, 0
241, 0
242, 0
243, 1
244, 0
245, 0
246, 0
247, 0
248, 0
249, 1
250, 1
251, 1
252, 0
253, 1
254, 1
255, 0
256, 1
257, 0
258, 1
259, 0
260, 0
261, 1
262, 0
263, 0
264, 0
265, 1
266, 1
267, 0
268, 1
269, 0
270, 0
271, 0
272, 1
273, 1
274, 1
275, 1
276, 1
277, 0
278, 1
279, 0
280, 0
281, 0
282, 1
283, 0
284, 1
285, 1
286, 0
287, 1
288, 1
289, 1
290, 1
291, 0
292, 0
293, 1
294, 0
295, 0
296, 0
297, 0
298, 0
299, 0
300, 0
301, 1
302, 1
303, 0
304, 0
305, 1
306, 0
307, 0
308, 0
309, 0
310, 0
311, 0
312, 1
313, 0
314, 1
315, 1
316, 0
317, 1
318, 0
319, 0
320, 1
321, 1
322, 0
323, 0
324, 0
325, 1
326, 0
327, 0
328, 0
329, 1
330, 1
331, 1
332, 0
333, 1
334, 1
335, 1
336, 0
337, 1
338, 1
339, 0
340, 0
341, 0
342, 1
343, 0
344, 1
345, 1
346, 0
347, 1
348, 1
349, 0
350, 1
351, 1
352, 1
353, 1
354, 0
355, 0
356, 0
357, 1
358, 1
359, 0
360, 1
361, 0
362, 1
363, 1
364, 0
365, 0
366, 0
367, 1
368, 0
369, 0
370, 0
371, 1
372, 0
373, 1
374, 0
375, 0
376, 1
377, 1
378, 1
379, 1
380, 0
381, 1
382, 0
383, 0
384, 1
385, 0
386, 0
387, 0
388, 1
389, 0
390, 1
391, 1
392, 1
393, 1
394, 1
395, 1
396, 1
397, 0
398, 0
399, 1
400, 0
401, 1
402, 1
403, 1
404, 0
405, 1
406, 1
407, 1
408, 0
409, 1
410, 1
411, 0
412, 0
413, 0
414, 1
415, 1
416, 0
417, 1
418, 0
419, 1
420, 0
421, 1
422, 1
423, 1
424, 1
425, 1
426, 0
427, 0
428, 0
429, 1
430, 0
431, 1
432, 1
433, 1
434, 1
435, 0
436, 0
437, 0
438, 1
439, 0
440, 1
441, 1
442, 1
443, 1
444, 0
445, 0
446, 1
447, 0
448, 1
449, 1
450, 1
451, 1
452, 1
453, 1
454, 1
455, 1
456, 1
457, 1
458, 1
459, 1
460, 0
461, 1
462, 1
463, 1
464, 1
465, 1
466, 1
467, 1
468, 0
469, 1
470, 0
471, 0
472, 0
473, 1
474, 1
475, 1
476, 1
477, 1
478, 0
479, 1
480, 1
481, 1
482, 0
483, 0
484, 1
485, 1
486, 0
487, 1
488, 0
489, 1
490, 1
491, 1
492, 1
493, 1
494, 0
495, 0
496, 1
497, 1
498, 1
499, 0
500, 1
501, 0
502, 0
503, 1
504, 1
505, 0
506, 0
507, 0
508, 0
509, 1
510, 0
511, 1
512, 0
513, 0
514, 1
515, 1
516, 1
517, 1
518, 1
519, 1
520, 0
521, 0
522, 1
523, 0
524, 0
525, 0
526, 1
527, 0
528, 1
529, 1
530, 0
531, 0
532, 1
533, 0
534, 1
535, 0
536, 1
537, 0
538, 1
539, 1
540, 1
541, 0
542, 1
543, 0
544, 0
545, 1
546, 1
547, 1
548, 1
549, 1
550, 1
551, 1
552, 0
553, 0
554, 0
555, 1
556, 0
557, 1
558, 0
559, 0
560, 1
561, 1
562, 1
563, 0
564, 0
565, 0
566, 1
567, 0
568, 1
569, 0
570, 1
571, 0
572, 0
573, 1
574, 1
575, 0
576, 1
577, 1
578, 1
579, 1
580, 0
581, 1
582, 1
583, 0
584, 1
585, 1
586, 1
587, 1
588, 1
589, 1
590, 0
591, 0
592, 0
593, 1
594, 1
595, 0
596, 1
597, 1
598, 0
599, 0
600, 1
601, 0
602, 1
603, 0
604, 0
605, 1
606, 0
607, 1
608, 1
609, 0
610, 0
611, 0
612, 1
613, 0
614, 0
615, 1
616, 0
617, 1
618, 1
619, 0
620, 1
621, 0
622, 0
623, 1
624, 0
625, 0
626, 0
627, 1
628, 1
629, 0
630, 1
631, 0
632, 1
633, 0
634, 1
635, 1
636, 0
637, 0
638, 1
639, 0
640, 1
641, 0
642, 0
643, 1
644, 0
645, 1
646, 0
647, 0
648, 1
649, 1
650, 0
651, 1
652, 1
653, 0
654, 0
655, 1
656, 1
657, 0
658, 1
659, 0
660, 1
661, 1
662, 1
663, 0
664, 1
665, 0
666, 0
667, 1
668, 1
669, 0
670, 0
671, 0
672, 1
673, 0
674, 1
675, 0
676, 1
677, 1
678, 0
679, 0
680, 0
681, 1
682, 0
683, 0
684, 1
685, 0
686, 1
687, 1
688, 1
689, 1
690, 1
691, 1
692, 0
693, 1
694, 1
695, 0
696, 1
697, 1
698, 1
699, 0
700, 0
701, 0
702, 1
703, 1
704, 0
705, 0
706, 0
707, 1
708, 0
709, 0
710, 1
711, 1
712, 0
713, 0
714, 1
715, 1
716, 0
717, 0
718, 0
719, 0
720, 0
721, 0
722, 0
723, 1
724, 1
725, 0
726, 0
727, 1
728, 1
729, 1
730, 0
731, 1
732, 0
733, 1
734, 0
735, 0
736, 1
737, 0
738, 0
739, 1
740, 0
741, 0
742, 1
743, 0
744, 1
745, 0
746, 0
747, 1
748, 0
749, 0
750, 1
751, 0
752, 1
753, 1
754, 1
755, 0
756, 1
757, 0
758, 0
759, 0
760, 0
761, 1
762, 1
763, 1
764, 1
765, 1
766, 0
767, 0
768, 1
769, 0
770, 0
771, 0
772, 0
773, 0
774, 0
775, 1
776, 0
777, 0
778, 0
779, 0
780, 0
781, 0
782, 1
783, 1
784, 0
785, 0
786, 1
787, 0
788, 0
789, 0
790, 1
791, 0
792, 1
793, 0
794, 1
795, 0
796, 1
797, 1
798, 0
799, 1
800, 0
801, 0
802, 0
803, 1
804, 0
805, 1
806, 0
807, 0
808, 0
809, 0
810, 1
811, 1
812, 0
813, 0
814, 0
815, 1
816, 0
817, 0
818, 1
819, 1
820, 0
821, 1
822, 1
823, 0
824, 1
825, 0
826, 0
827, 1
828, 0
829, 0
830, 0
831, 1
832, 1
833, 0
834, 1
835, 0
836, 0
837, 1
838, 0
839, 0
840, 1
841, 1
842, 1
843, 0
844, 1
845, 0
846, 0
847, 0
848, 0
849, 1
850, 1
851, 1
852, 1
853, 1
854, 0
855, 0
856, 0
857, 0
858, 0
859, 1
860, 1
861, 1
862, 1
863, 0
864, 0
865, 0
866, 1
867, 0
868, 1
869, 0
870, 0
871, 1
872, 0
873, 0
874, 0
875, 0
876, 0
877, 0
878, 0
879, 1
880, 1
881, 1
882, 0
883, 0
884, 0
885, 0
886, 1
887, 1
888, 1
889, 0
890, 0
891, 0
892, 1
893, 0
894, 1
895, 0
896, 1
897, 1
898, 0
899, 1
900, 1
901, 1
902, 1
903, 1
904, 1
905, 0
906, 0
907, 0
908, 1
909, 0
910, 1
911, 0
912, 0
913, 1
914, 1
915, 1
916, 1
917, 1
918, 1
919, 1
920, 1
921, 1
922, 0
923, 1
924, 0
925, 0
926, 0
927, 1
928, 0
929, 1
930, 1
931, 0
932, 0
933, 1
934, 1
935, 0
936, 0
937, 1
938, 1
939, 0
940, 0
941, 1
942, 0
943, 1
944, 1
945, 0
946, 0
947, 0
948, 1
949, 0
950, 0
951, 1
952, 1
953, 0
954, 0
955, 0
956, 1
957, 1
958, 1
959, 0
960, 1
961, 0
962, 1
963, 1
964, 1
965, 0
966, 0
967, 0
968, 0
969, 0
970, 1
971, 1
972, 1
973, 0
974, 0
975, 1
976, 1
977, 1
978, 1
979, 1
980, 1
981, 0
982, 1
983, 1
984, 0
985, 1
986, 0
987, 1
988, 1
989, 0
990, 1
991, 0
992, 1
993, 1
994, 1
995, 1
996, 1
997, 1
998, 1
999, 0
1000, 0
1001, 1
1002, 1
1003, 0
1004, 1
1005, 1
1006, 0
1007, 0
1008, 0
1009, 1
1010, 0
1011, 1
1012, 0
1013, 0
1014, 1
1015, 1
1016, 1
1017, 1
1018, 1
1019, 0
1020, 1
1021, 1
1022, 1
1023, 0
1024, 0
